Result: timeout
Goal: [-15.471380173762329, -20.42520851209839, -29.54818483218696, -153.9456386634831, 28.832346174415413, 98.83037039910437]
Steps: 500
Start: [27.35565360028247, -2.6403820546011394, -20.355117525567778, 14.574132287847647, 47.799495195125274, -169.09796412002618]
End: [-3.8583298641068016, -11.89254331898542, -28.263158798219774, 0.0, 0.0, 0.0]
Start distance: 47.3mm
End distance: 14.5mm

Step 380 (dist=9.3mm): source: q_store, act_name: move_tangentially
Step 381 (dist=7.3mm): source: sac, act_name: move_tangentially
Step 382 (dist=6.7mm): source: q_store, act_name: move_tangentially
Step 383 (dist=8.7mm): source: q_store, act_name: move_tangentially
Step 384 (dist=6.7mm): source: sac, act_name: move_tangentially
Step 385 (dist=8.7mm): source: q_store, act_name: move_tangentially
Step 386 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 387 (dist=5.4mm): source: sac, act_name: move_tangentially
Step 388 (dist=6.7mm): source: q_store, act_name: move_tangentially
Step 389 (dist=8.6mm): source: q_store, act_name: move_tangentially
Step 390 (dist=6.6mm): source: sac, act_name: move_tangentially
Step 391 (dist=7.0mm): source: sac, act_name: move_tangentially
Step 392 (dist=7.4mm): source: sac, act_name: move_tangentially
Step 393 (dist=9.6mm): source: sac, act_name: move_tangentially
Step 394 (dist=12.2mm): source: sac, act_name: move_tangentially
Step 395 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 396 (dist=10.9mm): source: sac, act_name: move_tangentially
Step 397 (dist=12.9mm): source: q_store, act_name: move_tangentially
Step 398 (dist=15.4mm): source: sac, act_name: move_tangentially
Step 399 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 400 (dist=11.5mm): source: sac, act_name: move_tangentially
Step 401 (dist=14.2mm): source: q_store, act_name: move_tangentially
Step 402 (dist=11.3mm): source: sac, act_name: move_tangentially
Step 403 (dist=10.6mm): source: sac, act_name: move_tangentially
Step 404 (dist=13.4mm): source: q_store, act_name: move_tangentially
Step 405 (dist=15.8mm): source: sac, act_name: move_tangentially
Step 406 (dist=15.2mm): source: q_store, act_name: move_tangentially
Step 407 (dist=13.4mm): source: sac, act_name: move_tangentially
Step 408 (dist=11.1mm): source: sac, act_name: move_tangentially
Step 409 (dist=9.5mm): source: sac, act_name: move_tangentially
Step 410 (dist=12.0mm): source: sac, act_name: move_tangentially
Step 411 (dist=12.9mm): source: q_store, act_name: move_tangentially
Step 412 (dist=11.8mm): source: sac, act_name: move_tangentially
Step 413 (dist=14.8mm): source: q_store, act_name: move_tangentially
Step 414 (dist=11.8mm): source: sac, act_name: move_tangentially
Step 415 (dist=14.3mm): source: sac, act_name: move_tangentially
Step 416 (dist=15.6mm): source: sac, act_name: move_tangentially
